habit_id,time,stripe_length
0,2023-12-01,1
1,2023-12-01,1
2,2023-12-01,1
3,2023-12-01,1
4,2023-12-01,1
4,2023-12-04,1
2,2023-12-05,2
3,2023-12-05,2
1,2023-12-06,1
0,2023-12-07,1
1,2023-12-07,2
2,2023-12-07,3
2,2023-12-08,4
0,2023-12-09,2
0,2023-12-10,3
1,2023-12-12,1
2,2023-12-12,5
2,2023-12-13,6
4,2023-12-13,1
1,2023-12-14,1
2,2023-12-14,7
0,2023-12-15,1
0,2023-12-16,2
3,2023-12-16,3
2,2023-12-17,8
4,2023-12-17,1
0,2023-12-18,3
2,2023-12-18,9
2,2023-12-19,10
3,2023-12-19,4
0,2023-12-20,4
2,2023-12-20,11
3,2023-12-20,5
0,2023-12-21,5
1,2023-12-21,1
0,2023-12-23,6
2,2023-12-23,12
2,2023-12-25,13
1,2023-12-27,1
1,2023-12-29,1
4,2023-12-29,1
1,2023-12-31,1
3,2024-01-01,6
4,2024-01-01,1
